Train Loss,Val Loss,Val Dice,Val IoU,,,,
0.874483275,0.745851502,0.63322765,0.529536949,,,,
0.627549275,0.626982555,0.69665545,0.602994586,,,,
0.503080557,0.554536924,0.72978646,0.640723426,,,0.7989385,0.690954555
0.424741754,0.530481696,0.7437334,0.63156152,,,,
0.36938696,0.514978021,0.7411991,0.642813395,,,,
0.35071095,0.493224762,0.7487754,0.659861359,,,,
0.300446486,0.461043552,0.77312243,0.652032733,,,,
0.286956496,0.461935222,0.7624924,0.659012012,,,,
0.24410767,0.44372984,0.77139187,0.679700488,,,,
0.238481145,0.468977332,0.74553835,0.66692281,,,,
0.225982573,0.464743592,0.75009024,0.64743514,,,,
0.193017027,0.419134125,0.7833678,0.695261137,,,,
0.193968019,0.512812965,0.7363127,0.637908503,,,,
0.18007225,0.407259412,0.7886514,0.697446669,,,,
0.184232196,0.478204526,0.75704557,0.605748325,,,,
0.173117994,0.409910202,0.792301,0.680092167,,,,
0.145963857,0.429149538,0.78190255,0.678231523,,,,
0.141148266,0.478507496,0.7585618,0.640520458,,,,
0.152610016,0.413586944,0.79496837,0.685294931,,,,
0.126535537,0.435522579,0.7802889,0.670592019,,,,
0.12727974,0.441080444,0.77456695,0.662001165,,,,
0.124086305,0.446695343,0.7799718,0.665252317,,,,
0.114314811,0.42021504,0.7907392,0.685248648,,,,
0.114546402,0.420717455,0.7894974,0.683565167,,,,
0.113101705,0.42118296,0.7916214,0.684404586,,,,
0.114842297,0.447484396,0.783261,0.663805371,,,,
0.108112185,0.427667752,0.7934559,0.67587873,,,,
0.10537323,0.410989307,0.7989385,0.690954555,,,,
0.102451792,0.414967135,0.798294,0.689698991,,,,
0.112745933,0.412788481,0.79737204,0.690946228,,,,
0.09662294,0.41511564,0.7980725,0.688875546,,,,
0.097887642,0.414072569,0.7977645,0.690244751,,,,
0.102084958,0.419039741,0.7962528,0.688611316,,,,
0.090962271,0.419975307,0.79595554,0.686269664,,,,
0.096092568,0.420162998,0.7955721,0.686986092,,,,
0.103046225,0.420993298,0.79463357,0.685094667,,,,
0.098511448,0.419061147,0.79541206,0.687902209,,,,
0.09614646,0.419882774,0.79412764,0.683907547,,,,
