Train Loss,Val Loss,Val Dice,Val IoU,,,
1.132174776,0.982154325,0.57249856,0.466173484,,,
0.946525935,0.858637199,0.68815875,0.589487426,,,
0.86033862,0.816002741,0.7356237,0.637444838,,,
0.806336546,0.7991364,0.711468,0.621970788,,0.78646743,0.698609856
0.773138634,0.749493286,0.74723494,0.666775056,,,
0.739935486,0.753768846,0.72567046,0.640254464,,,
0.718412193,0.746737882,0.7153391,0.624782196,,,
0.670945599,0.684614226,0.7356856,0.65797416,,,
0.66223619,0.709476426,0.71413046,0.618657477,,,
0.622604799,0.634000763,0.76706475,0.682559656,,,
0.610517142,0.621472612,0.7662863,0.674756322,,,
0.565676661,0.618770391,0.7441457,0.663632281,,,
0.561928616,0.597129151,0.7532317,0.680904001,,,
0.532941227,0.563491672,0.7841974,0.687180892,,,
0.510759166,0.551369265,0.78646743,0.698609856,,,
0.51595752,0.551326096,0.77539366,0.682003462,,,
0.499128948,0.563744359,0.74276245,0.634760262,,,
0.514279709,0.522535756,0.7797209,0.683512458,,,
0.454104992,0.543599099,0.77123886,0.670520438,,,
0.449429153,0.511375099,0.7726076,0.684680513,,,
0.443602594,0.513108797,0.77721655,0.66870062,,,
0.476016219,0.503482103,0.7632592,0.670209262,,,
0.449842665,0.482640266,0.7771671,0.687618555,,,
