Train Loss,Val Loss,Val Dice,Val IoU,,,
1.022329501,0.873779446,0.640053,0.539937603,,,
0.843861204,0.753937528,0.7332342,0.643756371,,,
0.736396315,0.697435513,0.7608545,0.675235248,,,
0.701012729,0.692378968,0.74715894,0.663697173,,,
0.649073121,0.646863088,0.77058667,0.68366739,,,
0.624237456,0.595732525,0.78945166,0.703197324,,,
0.564251772,0.596365124,0.7703037,0.677940508,,,
0.566988801,0.600104921,0.7563265,0.669031831,,,
0.541595691,0.566139057,0.78308135,0.687084317,,,
0.498010926,0.56166476,0.7810529,0.676539996,,0.7991913,0.7069838
0.527558511,0.551468432,0.77695435,0.68452381,,,
0.506047694,0.554394148,0.7750382,0.679915312,,,
0.472567767,0.518518642,0.7902482,0.688711487,,,
0.474069952,0.52406501,0.7750528,0.670658054,,,
0.466589262,0.521476313,0.7768804,0.685546731,,,
0.453869275,0.526276164,0.77670085,0.6837637,,,
0.438217937,0.486758843,0.79382265,0.696281481,,,
0.4262288,0.478012443,0.790661,0.701368256,,,
0.433699736,0.496589154,0.78116095,0.677097123,,,
0.407334756,0.479848713,0.79327756,0.693885344,,,
0.390491239,0.479642913,0.7873573,0.688191845,,,
0.358316332,0.47009638,0.78825104,0.694327725,,,
0.422719346,0.45786351,0.78741646,0.691807824,,,
0.394148184,0.472053401,0.77461505,0.677150243,,,
0.357335123,0.44982028,0.7969695,0.7038232,,,
0.369566959,0.441609062,0.798524,0.695670019,,,
0.363885615,0.443641543,0.7991913,0.7069838,,,
0.335920444,0.45416531,0.78726524,0.689443481,,,
0.382404045,0.450433202,0.78432786,0.676829961,,,
0.33925538,0.447666161,0.78318655,0.691138034,,,
0.270074751,0.436116666,0.79477483,0.700266098,,,
0.33449242,0.433603704,0.7900572,0.696086826,,,
0.292195856,0.439442053,0.7885123,0.686485381,,,
0.295710359,0.427829698,0.7924205,0.700816493,,,
0.307146971,0.430059507,0.7901507,0.693821012,,,
