Train Loss,Val Loss,Val Dice,Val IoU,,,
0.984957161,0.904387996,0.614387885,0.50200699,,,
0.723251162,0.677318394,0.7660336,0.661751753,,,
0.619916332,0.639725715,0.76648563,0.681766046,,0.80262053,0.707331995
0.541344168,0.628258958,0.77245706,0.672617582,,,
0.488931756,0.586568475,0.77040344,0.679304199,,,
0.453855429,0.573194534,0.7744853,0.663394751,,,
0.420913758,0.575859278,0.7655455,0.656955025,,,
0.3919776,0.532457478,0.7806434,0.682646826,,,
0.363782868,0.540607877,0.7646278,0.659970659,,,
0.336145259,0.539096013,0.7639465,0.655261374,,,
0.318532885,0.511109315,0.78436166,0.680515414,,,
0.292274269,0.48408521,0.7975547,0.698541793,,,
0.265453901,0.47629416,0.79302603,0.695310121,,,
0.270425249,0.665446214,0.7053073,0.596605346,,,
0.260497806,0.476644874,0.7815095,0.678569937,,,
0.229798132,0.453216396,0.79495454,0.691597902,,,
0.209850205,0.440564565,0.80262053,0.703499004,,,
0.195715522,0.438704759,0.79239273,0.702814204,,,
0.183860929,0.434718922,0.7962681,0.695994167,,,
0.168754951,0.452736229,0.7892671,0.692612655,,,
0.155821186,0.452849589,0.7857447,0.681720202,,,
0.146032975,0.425754726,0.8016784,0.707331995,,,
0.140284534,0.443852305,0.79670036,0.690095368,,,
0.12624098,0.450690694,0.7911418,0.682437434,,,
0.123585298,0.431531638,0.80170685,0.707768009,,,
0.11000738,0.441684335,0.7960373,0.692211659,,,
0.108315153,0.439397193,0.79854923,0.689974192,,,
