Train Loss,Val Loss,Val Dice,Val IoU,,,
1.086141908,0.928625256,0.60773754,0.492705523,,,
0.892988161,0.827388301,0.6784382,0.572479384,,,
0.813643116,0.770640537,0.7456104,0.653535518,,0.8044872,0.699477675
0.785703027,0.779178739,0.72153497,0.611607884,,,
0.70992254,0.692746431,0.7989153,0.703655899,,,
0.717418528,0.685958922,0.7792138,0.688296596,,,
0.668456417,0.658625707,0.7893115,0.682484385,,,
0.624835352,0.624361336,0.79447275,0.714077938,,,
0.588848267,0.618376479,0.8044872,0.699477675,,,
0.557617689,0.606742933,0.7929467,0.699779835,,,
0.58845349,0.59957546,0.7665218,0.67640676,,,
0.558758536,0.574040636,0.7802347,0.69632878,,,
0.554945028,0.568771668,0.77080303,0.681094741,,,
0.514738877,0.553776786,0.78223485,0.697413986,,,
0.51019477,0.549063265,0.78187394,0.686802087,,,
0.512128285,0.520949006,0.79303557,0.703511756,,,
0.51114919,0.525762506,0.7819897,0.693985737,,,
