Train Loss,Val Loss,Val Dice,Val IoU,,,
1.057501618,1.02950716,0.58583736,0.469923228,,,
0.846403112,0.834590003,0.674185,0.573441313,,,
0.782244305,0.763813019,0.720923,0.624641934,,0.7952807,0.700214092
0.710815273,0.696528718,0.7541424,0.667164102,,,
0.656022552,0.660261467,0.7524722,0.643263272,,,
0.612289515,0.628163025,0.75616467,0.639492514,,,
0.583756592,0.607500792,0.7542874,0.664983747,,,
0.567199008,0.559555277,0.77121204,0.680765127,,,
0.528318972,0.569739193,0.7566803,0.647081173,,,
0.505161196,0.538547516,0.7677235,0.661382105,,,
0.44590134,0.509721741,0.7821509,0.691295789,,,
0.426835346,0.532602869,0.7499699,0.657101009,,,
0.434628379,0.47685346,0.7893831,0.686724079,,,
0.427868524,0.502673864,0.7488267,0.657353846,,,
0.401493297,0.479130909,0.7690945,0.6743342,,,
0.405729554,0.493384928,0.7463745,0.651131432,,,
0.350430473,0.474680208,0.7683975,0.653662762,,,
0.348031648,0.513671316,0.7372265,0.637647727,,,
0.400858206,0.446452379,0.7752964,0.677194569,,,
0.360289422,0.443681061,0.77929646,0.66411809,,,
0.403056912,0.414515764,0.7951815,0.695276726,,,
0.342536314,0.435821258,0.78439516,0.689833572,,,
0.325303844,0.44543051,0.77107394,0.668571305,,,
0.326865153,0.43353197,0.77015144,0.681822044,,,
0.321851536,0.422421858,0.77649873,0.682616974,,,
0.305140013,0.416038677,0.79293185,0.689324843,,,
0.255461611,0.433080703,0.7798015,0.691196592,,,
0.278512423,0.413049623,0.7952807,0.700214092,,,
0.319716581,0.43230819,0.7740181,0.684054727,,,
0.280803871,0.428267121,0.7642384,0.680888991,,,
0.298275763,0.42693384,0.7787358,0.678031141,,,
0.259597148,0.483274907,0.7271338,0.639287932,,,
0.268802204,0.438893326,0.75819725,0.671600507,,,
0.260199986,0.440745071,0.75748885,0.673907085,,,
0.23496372,0.42714145,0.7796024,0.68280529,,,
0.288756285,0.446213476,0.7624905,0.670616126,,,
0.275793294,0.428369783,0.7798293,0.681808927,,,
0.254013022,0.443122715,0.761863,0.671031441,,,
